PktCount,SumPktLength,MaxPktLength,MinPktLength,MeanPktLength,SumIat,MaxIat,MinIat,MeanIat,FlowDuration,InitialWindow,SumWindow,MaxWindow,MinWindow,MeanWindow,IsTCP,isVideo
416.0,558678.0,1414.0,66.0,1342.9759615384614,62808074.00000003,60368060.00000003,44.0,151344.7566265061,62808074.00000003,65535.0,27262975.0,65536.0,65535.0,65535.997596153844,1.0,1.0
38498.0,54274250.0,1414.0,66.0,1409.7940152735207,278284036.0,10808148.0,14.999999940395355,7228.720056108268,278284036.0,65535.0,4525387263.0,153088.0,65535.0,117548.63273416802,1.0,1.0
646.0,667239.0,1417.0,66.0,1032.8777089783282,290495560.0,46673283.0,17.999999940395355,450380.7131782946,290495560.0,7240.0,4391264.0,8624.0,6576.0,6797.622291021672,1.0,1.0
114.0,37942.0,1417.0,66.0,332.82456140350877,280027117.0,54971672.999999985,46.0,2478116.079646018,280027117.0,1428.0,8932136.0,161792.0,1428.0,78352.0701754386,1.0,1.0
8109.0,11311968.0,1417.0,66.0,1394.9892711801701,136044107.0,64821377.0,16.0,16778.996916625554,136044107.0,7240.0,53326152.0,7240.0,6520.0,6576.168701442842,1.0,1.0
235.0,303814.0,1417.0,66.0,1292.8255319148936,69977106.0,64233431.0,46.0,299047.46153846156,69977106.0,7240.0,1547088.0,7240.0,6576.0,6583.353191489362,1.0,1.0
35.0,19102.0,1417.0,66.0,545.7714285714286,278908218.0,56241879.000000015,112.0,8203182.882352941,278908218.0,1428.0,448296.0,29696.0,1428.0,12808.457142857143,1.0,1.0
2717.0,3810649.0,1417.0,66.0,1402.5207949944793,66261206.0,60584653.0,19.0,24396.614874815907,66261206.0,7240.0,17868568.0,7240.0,6576.0,6576.5800515274195,1.0,1.0
40933.0,57754265.0,1417.0,66.0,1410.94630249432,112849203.0,61052914.0,15.0,2756.9921577250075,112849203.0,65535.0,4850499583.0,151040.0,65535.0,118498.51178755527,1.0,1.0
1063.0,1487377.0,1417.0,66.0,1399.2257761053622,66745201.0,64999994.0,24.0,62848.588512241055,66745201.0,28960.0,38577440.0,36352.0,28960.0,36291.10065851364,1.0,1.0
33.0,11109.0,1417.0,66.0,336.6363636363636,83988052.0,47016503.999999985,35.0,2624626.625,83988052.0,26847.0,1378783.0,54784.0,26847.0,41781.30303030303,1.0,1.0
4814.0,6701248.0,1417.0,66.0,1392.0332363938512,139821430.0,44657072.0,14.0,29050.785372948267,139821430.0,7240.0,31657856.0,7240.0,6520.0,6576.206065641878,1.0,1.0
36.0,13658.0,1417.0,66.0,379.3888888888889,77375200.0,32106855.0,72.0,2210720.0,77375200.0,7240.0,238528.0,7240.0,6576.0,6625.777777777777,1.0,1.0
35088.0,49554880.0,1417.0,66.0,1412.3027815777473,88136976.0,63195420.0,15.0,2511.9553110838774,88136976.0,65535.0,3459963391.0,116224.0,65535.0,98608.16777815777,1.0,1.0
1756.0,2465411.0,1417.0,66.0,1403.992596810934,97885367.0,61260044.0,22.0,55775.13789173789,97885367.0,28960.0,65919776.0,38400.0,28960.0,37539.73576309795,1.0,1.0
44.0,9045.0,1292.0,67.0,205.5681818181818,36866247.0,26465311.0,62.0,857354.5813953489,36866247.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
33.0,8134.0,676.0,66.0,246.4848484848485,99025509.0,35618416.0,23.0,3094547.15625,99025509.0,26847.0,1434335.0,55808.0,26847.0,43464.69696969697,1.0,1.0
16576.0,23365731.0,1417.0,66.0,1409.612150096525,92976890.0,60899445.0,14.0,5609.465460030166,92976890.0,65535.0,1662286335.0,116224.0,65535.0,100282.71808638996,1.0,1.0
25699.0,36368713.0,1417.0,66.0,1415.1800848282035,15270269.00000003,256399.0,15.999999940395355,594.2201338625586,15270269.00000003,65535.0,1802618879.0,70144.0,65535.0,70143.54173314136,1.0,1.0
7961.0,11197252.0,1417.0,66.0,1406.513252104007,18695202.0,9244319.0,16.0,2348.6434673366834,18695202.0,65535.0,782270463.0,105984.0,65535.0,98262.83921617887,1.0,1.0
37.0,14228.0,1414.0,66.0,384.5405405405405,180218032.0,64613408.0,51.0,5006056.444444444,180218032.0,26847.0,1553375.0,61184.0,26847.0,41983.10810810811,1.0,1.0
376.0,414963.0,1414.0,66.0,1103.625,431554915.0,60448735.0,46.0,1150813.1066666667,431554915.0,7240.0,2474432.0,7240.0,6576.0,6580.936170212766,1.0,1.0
4156.0,5796891.0,1414.0,66.0,1394.8245909528393,73740435.0,62555628.0,15.0,17747.397111913357,73740435.0,7240.0,27331712.0,7240.0,6576.0,6576.446583253128,1.0,1.0
176.0,232631.0,1414.0,66.0,1321.7670454545455,63469191.0,62558646.0,46.0,362681.09142857144,63469191.0,7240.0,1159168.0,7240.0,6576.0,6586.181818181818,1.0,1.0
1236.0,1728462.0,1414.0,66.0,1398.4320388349515,67523791.0,64011859.0,30.0,54675.13441295546,67523791.0,7240.0,8129792.0,7240.0,6576.0,6577.501618122978,1.0,1.0
13041.0,18398023.0,1414.0,66.0,1410.7831454643049,78099225.0,60012453.0,18.0,5989.204371165644,78099225.0,65535.0,954732543.0,73216.0,65535.0,73210.07154359328,1.0,1.0
1682.0,2344246.0,1414.0,66.0,1393.7253269916766,67882717.0,61361189.0,16.0,40382.34205829863,67882717.0,7240.0,11061880.0,7240.0,6576.0,6576.623067776457,1.0,1.0
188.0,245770.0,1414.0,66.0,1307.287234042553,66415742.0,64419607.0,46.0,355164.39572192513,66415742.0,65535.0,12916479.0,68864.0,65535.0,68704.6755319149,1.0,1.0
26.0,9992.0,1414.0,66.0,384.3076923076923,79195189.0,63817322.0,85.0,3167807.56,79195189.0,7240.0,172696.0,7240.0,6576.0,6642.153846153846,1.0,1.0
57630.0,81322161.0,1414.0,66.0,1411.1081207704322,325618790.0,11461773.0,16.0,5650.259244477606,325618790.0,65535.0,7339212287.0,163328.0,65535.0,127350.55157036266,1.0,1.0
3852.0,5406444.0,1414.0,66.0,1403.5420560747664,68407737.0,61680450.0,19.0,17763.62944689691,68407737.0,65535.0,252444671.0,65536.0,65535.0,65535.9997403946,1.0,1.0
55.0,23600.0,1410.0,66.0,429.09090909090907,168140228.0,40168448.0,56.0,3113707.925925926,168140228.0,1428.0,1381160.0,50176.0,1428.0,25112.0,1.0,1.0
35.0,15005.0,1410.0,66.0,428.7142857142857,165899107.0,40618452.0,690.0,4879385.5,165899107.0,1428.0,341800.0,18944.0,1428.0,9765.714285714286,1.0,1.0
355.0,387215.0,1410.0,66.0,1090.7464788732395,165737008.0,23872192.0,20.0,468183.6384180791,165737008.0,7240.0,2335840.0,7240.0,6576.0,6579.830985915493,1.0,1.0
9890.0,13812352.0,1410.0,66.0,1396.5977755308393,165137926.0,50131237.0,13.999999985098839,16699.153200525838,165137926.0,7240.0,65038344.0,7240.0,6576.0,6576.172295247725,1.0,1.0
2813.0,3920579.0,1410.0,66.0,1393.7358691788127,164406185.0,55457166.0,19.0,58465.92638691323,164406185.0,7240.0,18499400.0,7240.0,6576.0,6576.3953075008885,1.0,1.0
78.0,30475.0,1410.0,66.0,390.70512820512823,162712847.0,24034157.0,21.0,2113153.8571428573,162712847.0,26847.0,5792735.0,108800.0,26847.0,74265.83333333333,1.0,1.0
9926.0,13933979.0,1410.0,66.0,1403.785915776748,95179301.0,62433542.0,18.0,9589.854005037783,95179301.0,65535.0,746968063.0,75264.0,65535.0,75253.68355833166,1.0,1.0
7902.0,11060228.0,1410.0,66.0,1399.6745127815743,89071339.0,62957912.0,13.0,11273.42602202253,89071339.0,65535.0,637492223.0,86016.0,65535.0,80674.7941027588,1.0,1.0
406.0,551005.0,1410.0,66.0,1357.155172413793,14972603.0,9989550.0,56.0,36969.39012345679,14972603.0,7240.0,2671320.0,7240.0,6576.0,6579.605911330049,1.0,1.0
214.0,211785.0,1410.0,66.0,989.6495327102804,292196663.0,60225328.0,19.0,1371815.3192488262,292196663.0,7240.0,1409128.0,7240.0,6576.0,6584.710280373832,1.0,1.0
185.0,238062.0,1410.0,66.0,1286.8216216216217,63922599.0,61862273.0,35.0,347405.4293478261,63922599.0,7240.0,1218480.0,7240.0,6576.0,6586.378378378378,1.0,1.0
2858.0,3917971.0,1410.0,66.0,1370.8785864240729,96263239.0,64570049.0,18.0,33693.818340917045,96263239.0,7240.0,18795912.0,7240.0,6336.0,6576.59622113366,1.0,1.0
